Timestamp,Mag_X,Mag_Y,Mag_Z,Ori_X,Ori_Y,Ori_Z,Position
1754854723.584,-0.257228,5.686543,8.007581,-73.725117,-34.759741,1.080367,2
1754854723.593,-0.230907,5.728417,7.848458,-73.711449,-34.796662,1.090172,2
1754854723.603,-0.200997,5.728417,7.71446,-73.687619,-34.837643,1.088907,2
1754854723.612,-0.218943,5.724828,7.691729,-73.654226,-34.869304,1.074424,2
1754854723.622,-0.248854,5.698507,7.763513,-73.615519,-34.881172,1.05364,2
1754854723.631,-0.257228,5.665008,7.928618,-73.579012,-34.869407,1.033221,2
1754854723.64,-0.245264,5.612366,8.143971,-73.579012,-34.869407,1.033221,2
1754854723.65,-0.221336,5.559723,8.327023,-73.548187,-34.783018,1.007915,2
1754854723.659,-0.17348,5.534599,8.465807,-73.561636,-34.723609,1.008528,2
1754854723.669,-0.138784,5.554938,8.563912,-73.592304,-34.668107,1.01258,2
1754854723.678,-0.111266,5.57408,8.56152,-73.631748,-34.627956,1.014738,2
1754854723.688,-0.088534,5.615955,8.529217,-73.670755,-34.611157,1.009158,2
1754854723.697,-0.072981,5.630311,8.410771,-73.702966,-34.618558,0.993973,2
1754854723.707,-0.090927,5.635098,8.279166,-73.723846,-34.647019,0.970671,2
1754854723.716,-0.124427,5.665008,8.096115,-73.732165,-34.687351,0.943982,2
1754854723.726,-0.13998,5.682954,7.945368,-73.728047,-34.734626,0.918691,2
1754854723.735,-0.12323,5.699704,7.856833,-73.718621,-34.776325,0.895002,2
1754854723.745,-0.122034,5.710471,7.836494,-73.708717,-34.80355,0.874341,2
1754854723.754,-0.070588,5.673382,7.878368,-73.699797,-34.811972,0.862493,2
1754854723.763,-0.043071,5.645865,7.976474,-73.699797,-34.811972,0.862493,2
1754854723.773,-0.032303,5.661418,8.120044,-73.702795,-34.765758,0.840677,2
1754854723.782,-0.007178,5.65424,8.240881,-73.710814,-34.726266,0.827403,2
1754854723.792,0.023928,5.647061,8.361719,-73.724386,-34.683339,0.810624,2
1754854723.801,0.045464,5.657829,8.467003,-73.740491,-34.64093,0.790837,2
1754854723.811,0.002393,5.649454,8.507681,-73.754999,-34.607486,0.775243,2
1754854723.82,-0.050249,5.650651,8.489735,-73.762956,-34.586285,0.774983,2
1754854723.83,-0.119641,5.649454,8.391629,-73.763113,-34.581425,0.784832,2
1754854723.839,-0.18664,5.681757,8.26481,-73.755101,-34.591479,0.797458,2
1754854723.849,-0.22014,5.709275,8.127222,-73.739112,-34.614726,0.808383,2
1754854723.858,-0.212961,5.716453,8.047063,-73.717972,-34.645991,0.813949,2
1754854723.867,-0.161516,5.71406,7.95135,-73.717972,-34.645991,0.813949,2
1754854723.877,-0.116052,5.729614,7.878368,-73.679771,-34.702682,0.807988,2
1754854723.886,-0.092124,5.726025,7.866405,-73.661787,-34.720973,0.798238,2
1754854723.896,-0.066999,5.745167,7.935796,-73.643974,-34.72502,0.787992,2
1754854723.905,-0.035892,5.712864,8.013563,-73.626304,-34.715468,0.777212,2
1754854723.915,-0.025125,5.698507,8.127222,-73.611503,-34.692238,0.768206,2
1754854723.924,-0.071785,5.666204,8.257631,-73.597918,-34.660857,0.763244,2
1754854723.934,-0.116052,5.657829,8.361719,-73.583472,-34.625955,0.76736,2
1754854723.943,-0.166301,5.633901,8.40479,-73.570167,-34.594536,0.777344,2
1754854723.953,-0.191426,5.638687,8.407183,-73.55609,-34.57061,0.794313,2
1754854723.962,-0.228515,5.625526,8.390432,-73.543386,-34.558104,0.812377,2
1754854723.972,-0.239282,5.608776,8.349754,-73.531897,-34.555126,0.827114,2
1754854723.981,-0.240479,5.626722,8.262417,-73.524534,-34.560313,0.833084,2
1754854723.99,-0.239282,5.643472,8.185846,-73.524534,-34.560313,0.833084,2
1754854724.0,-0.195015,5.63749,8.093722,-73.506728,-34.59246,0.836553,2
1754854724.009,-0.185444,5.642276,8.059027,-73.501687,-34.60656,0.830896,2
1754854724.019,-0.162712,5.644669,8.068598,-73.496701,-34.613271,0.823177,2
1754854724.028,-0.101695,5.643472,8.128419,-73.494502,-34.609798,0.817423,2
1754854724.038,-0.06341,5.642276,8.188239,-73.498983,-34.595902,0.811552,2
1754854724.047,-0.062213,5.627919,8.262417,-73.50418,-34.576258,0.812878,2
1754854724.057,-0.070588,5.641079,8.348558,-73.510594,-34.552868,0.822924,2
1754854724.066,-0.108873,5.647061,8.386844,-73.517882,-34.535158,0.836445,2
1754854724.076,-0.13998,5.641079,8.367701,-73.522731,-34.527655,0.850306,2
1754854724.085,-0.15673,5.645865,8.309076,-73.520791,-34.53135,0.861734,2
1754854724.094,-0.171087,5.668597,8.243274,-73.520791,-34.53135,0.861734,2
1754854724.104,-0.162712,5.656633,8.16431,-73.49705,-34.570302,0.869828,2
1754854724.113,-0.168694,5.643472,8.082955,-73.480739,-34.595762,0.872094,2
1754854724.123,-0.187837,5.65424,8.008778,-73.463971,-34.618691,0.880665,2
1754854724.132,-0.204586,5.665008,7.977671,-73.445495,-34.635579,0.895859,2
1754854724.142,-0.190229,5.675776,8.003992,-73.42842,-34.642402,0.912605,2
1754854724.151,-0.168694,5.676972,8.066205,-73.416754,-34.638007,0.925814,2
1754854724.161,-0.145962,5.660222,8.141579,-73.411925,-34.625234,0.935797,2
1754854724.17,-0.117248,5.641079,8.228917,-73.413134,-34.607739,0.941729,2
1754854724.18,-0.058624,5.621937,8.310273,-73.420114,-34.589799,0.940499,2
1754854724.189,-0.068195,5.603991,8.377272,-73.431214,-34.575169,0.931375,2
1754854724.199,-0.074178,5.602794,8.366505,-73.44275,-34.569336,0.926374,2
1754854724.208,-0.108873,5.587241,8.285149,-73.451827,-34.577256,0.926852,2
1754854724.217,-0.17348,5.623133,8.145168,-73.451827,-34.577256,0.926852,2
1754854724.227,-0.192622,5.679365,8.002795,-73.45208,-34.623837,0.936796,2
1754854724.236,-0.196211,5.705686,7.896315,-73.442169,-34.653009,0.937238,2
1754854724.246,-0.143569,5.722435,7.890333,-73.429007,-34.674002,0.933951,2
1754854724.255,-0.083749,5.711668,8.007581,-73.41799,-34.681184,0.925808,2
1754854724.265,-0.057428,5.669793,8.114061,-73.411488,-34.670552,0.916009,2
1754854724.274,-0.082552,5.651847,8.232507,-73.408401,-34.646377,0.914534,2
1754854724.284,-0.144766,5.635098,8.311469,-73.407738,-34.616963,0.923267,2
1754854724.293,-0.179462,5.617151,8.360522,-73.409828,-34.589403,0.932831,2
1754854724.303,-0.181855,5.601598,8.389236,-73.41702,-34.567533,0.933936,2
1754854724.312,-0.149551,5.602794,8.411968,-73.42926,-34.55321,0.927534,2
1754854724.321,-0.100499,5.611169,8.405986,-73.42926,-34.55321,0.927534,2
1754854724.331,-0.072981,5.603991,8.365308,-73.460187,-34.557226,0.909314,2
1754854724.34,-0.084945,5.62074,8.275578,-73.473643,-34.568844,0.907539,2
1754854724.35,-0.112463,5.638687,8.19781,-73.481661,-34.586459,0.912799,2
1754854724.359,-0.114855,5.639883,8.122437,-73.484243,-34.606328,0.921979,2
1754854724.369,-0.125623,5.651847,8.060223,-73.481777,-34.623848,0.930157,2
1754854724.378,-0.129212,5.649454,8.051848,-73.473636,-34.637402,0.93802,2
1754854724.388,-0.160319,5.639883,8.050652,-73.462988,-34.642993,0.945152,2
1754854724.397,-0.183051,5.614758,8.076973,-73.450748,-34.641439,0.953341,2
1754854724.407,-0.16989,5.600401,8.120044,-73.441793,-34.632744,0.962337,2
1754854724.416,-0.137587,5.57767,8.187042,-73.439048,-34.61963,0.967964,2
1754854724.426,-0.102891,5.581259,8.256434,-73.444327,-34.603784,0.96974,2
1754854724.43499,-0.102891,5.582455,8.271988,-73.454709,-34.590735,0.96771,2
1754854724.444,-0.101695,5.595616,8.242078,-73.454709,-34.590735,0.96771,2
1754854724.45401,-0.128016,5.609972,8.161918,-73.469811,-34.591175,0.977799,2
1754854724.463,-0.166301,5.629115,8.084151,-73.467659,-34.605679,0.982083,2
1754854724.473,-0.180658,5.636294,7.994421,-73.457223,-34.623383,0.979235,2
1754854724.482,-0.183051,5.653043,7.959724,-73.442429,-34.640404,0.969964,2
1754854724.49201,-0.180658,5.633901,7.96451,-73.425749,-34.651739,0.960111,2
1754854724.501,-0.155533,5.626722,7.993224,-73.412731,-34.652524,0.952273,2
1754854724.511,-0.151944,5.601598,8.014759,-73.406181,-34.643225,0.952457,2
1754854724.52,-0.154337,5.612366,8.063812,-73.405177,-34.62381,0.958097,2
1754854724.53,-0.129212,5.635098,8.1344,-73.406727,-34.598511,0.965056,2
1754854724.539,-0.086142,5.647061,8.189436,-73.411529,-34.570781,0.970881,2
1754854724.548,-0.074178,5.650651,8.218149,-73.411529,-34.570781,0.970881,2
1754854724.558,-0.087338,5.649454,8.30788,-73.427757,-34.518349,0.971136,2
1754854724.567,-0.142373,5.636294,8.384451,-73.436568,-34.494689,0.95344,2
1754854724.577,-0.226122,5.595616,8.315059,-73.445161,-34.473833,0.934479,2
1754854724.586,-0.196211,5.581259,8.405986,-73.449484,-34.457768,0.931573,2
1754854724.596,-0.165105,5.583652,8.390432,-73.463438,-34.435795,0.915409,2
1754854724.605,-0.149551,5.586044,8.367701,-73.479489,-34.41412,0.909409,2
1754854724.615,-0.141177,5.587241,8.465807,-73.498505,-34.396092,0.917887,2
1754854724.624,-0.141177,5.598009,8.52443,-73.52407,-34.381465,0.916615,2
1754854724.634,-0.107677,5.636294,8.514859,-73.549014,-34.375,0.90433,2
1754854724.643,-0.148355,5.659026,8.465807,-73.569518,-34.382247,0.89344,2
1754854724.653,-0.20339,5.642276,8.513663,-73.580508,-34.405821,0.888736,2
1754854724.662,-0.251246,5.572884,8.57468,-73.589189,-34.440635,0.866732,2
1754854724.671,-0.215354,5.523831,8.422736,-73.589189,-34.440635,0.866732,2
1754854724.681,-0.209372,5.536992,8.117651,-73.593355,-34.541452,0.805937,2
